Year,State,Population
1960, Alabama,3266740
1960, Alaska,226167
1960, Arizona,1302161
1960, Arkansas,1786272
1960, California,15717204
1960, Colorado,1753947
1960, Connecticut,2535234
1960, Delaware,446292
1960, District of Columbia,763956
1960, Florida,4951560
1960, Georgia,3943116
1960, Hawaii,632772
1960, Idaho,667191
1960, Illinois,10081158
1960, Indiana,4662498
1960, Iowa,2757537
1960, Kansas,2178611
1960, Kentucky,3038156
1960, Louisiana,3257022
1960, Maine,969265
1960, Maryland,3100689
1960, Massachusetts,5148578
1960, Michigan,7823194
1960, Minnesota,3413864
1960, Mississippi,2178141
1960, Missouri,4319813
1960, Montana,674767
1960, Nebraska,1411330
1960, Nevada,285278
1960, New Hampshire,606921
1960, New Jersey,6066782
1960, New Mexico,951023
1960, New York,16782304
1960, North Carolina,4556155
1960, North Dakota,632446
1960, Ohio,9706397
1960, Oklahoma,2328284
1960, Oregon,1768687
1960, Pennsylvania,11319366
1960, Rhode Island,859488
1960, South Carolina,2382594
1960, South Dakota,680514
1960, Tennessee,3567089
1960, Texas,9579677
1960, Utah,890627
1960, Vermont,389881
1960, Virginia,3966949
1960, Washington,2853214
1960, West Virginia,1860421
1960, Wisconsin,3951777
1960, Wyoming,330066
1970, Alabama,3444165
1970, Alaska,300382
1970, Arizona,1745944
1970, Arkansas,1923295
1970, California,19953134
1970, Colorado,2207259
1970, Connecticut,3031709
1970, Delaware,548104
1970, District of Columbia,756510
1970, Florida,6789443
1970, Georgia,4589575
1970, Hawaii,769913
1970, Idaho,712567
1970, Illinois,11113976
1970, Indiana,5193669
1970, Iowa,2824376
1970, Kansas,2246578
1970, Kentucky,3218706
1970, Louisiana,3641306
1970, Maine,992048
1970, Maryland,3922399
1970, Massachusetts,5689170
1970, Michigan,8875083
1970, Minnesota,3804971
1970, Mississippi,2216912
1970, Missouri,4676501
1970, Montana,694409
1970, Nebraska,1483493
1970, Nevada,488738
1970, New Hampshire,737681
1970, New Jersey,7168164
1970, New Mexico,1017055
1970, New York,18236967
1970, North Carolina,5082059
1970, North Dakota,617761
1970, Ohio,10652017
1970, Oklahoma,2559229
1970, Oregon,2091533
1970, Pennsylvania,11793909
1970, Rhode Island,946725
1970, South Carolina,2590516
1970, South Dakota,665507
1970, Tennessee,3923687
1970, Texas,11196730
1970, Utah,1059273
1970, Vermont,444330
1970, Virginia,4648494
1970, Washington,3409169
1970, West Virginia,1744237
1970, Wisconsin,4417731
1970, Wyoming,332416
1980, Alabama,3893888
1980, Alaska,401851
1980, Arizona,2718215
1980, Arkansas,2286435
1980, California,23667902
1980, Colorado,2889964
1980, Connecticut,3107576
1980, Delaware,594338
1980, District of Columbia,638333
1980, Florida,9746324
1980, Georgia,5463105
1980, Hawaii,964691
1980, Idaho,943935
1980, Illinois,11426518
1980, Indiana,5490224
1980, Iowa,2913808
1980, Kansas,2363679
1980, Kentucky,3660777
1980, Louisiana,4205900
1980, Maine,1124660
1980, Maryland,4216975
1980, Massachusetts,5737037
1980, Michigan,9262078
1980, Minnesota,4075970
1980, Mississippi,2520638
1980, Missouri,4916686
1980, Montana,786690
1980, Nebraska,1569825
1980, Nevada,800493
1980, New Hampshire,920610
1980, New Jersey,7364823
1980, New Mexico,1302894
1980, New York,17558072
1980, North Carolina,5881766
1980, North Dakota,652717
1980, Ohio,10797630
1980, Oklahoma,3025290
1980, Oregon,2633105
1980, Pennsylvania,11863895
1980, Rhode Island,947154
1980, South Carolina,3121820
1980, South Dakota,690768
1980, Tennessee,4591120
1980, Texas,14229191
1980, Utah,1461037
1980, Vermont,511456
1980, Virginia,5346818
1980, Washington,4132156
1980, West Virginia,1949644
1980, Wisconsin,4705767
1980, Wyoming,469557
1990, Alabama,4040587
1990, Alaska,550043
1990, Arizona,3665228
1990, Arkansas,2350725
1990, California,29760021
1990, Colorado,3294394
1990, Connecticut,3287116
1990, Delaware,666168
1990, District of Columbia,606900
1990, Florida,12937926
1990, Georgia,6478216
1990, Hawaii,1108229
1990, Idaho,1006749
1990, Illinois,11430602
1990, Indiana,5544159
1990, Iowa,2776755
1990, Kansas,2477574
1990, Kentucky,3685296
1990, Louisiana,4219973
1990, Maine,1227928
1990, Maryland,4781468
1990, Massachusetts,6016425
1990, Michigan,9295297
1990, Minnesota,4375099
1990, Mississippi,2573216
1990, Missouri,5117073
1990, Montana,799065
1990, Nebraska,1578385
1990, Nevada,1201833
1990, New Hampshire,1109252
1990, New Jersey,7730188
1990, New Mexico,1515069
1990, New York,17990455
1990, North Carolina,6628637
1990, North Dakota,638800
1990, Ohio,10847115
1990, Oklahoma,3145585
1990, Oregon,2842321
1990, Pennsylvania,11881643
1990, Rhode Island,1003464
1990, South Carolina,3486703
1990, South Dakota,696004
1990, Tennessee,4877185
1990, Texas,16986510
1990, Utah,1722850
1990, Vermont,562758
1990, Virginia,6187358
1990, Washington,4866692
1990, West Virginia,1793477
1990, Wisconsin,4891769
1990, Wyoming,453588
2000, Alabama,4447100
2000, Alaska,626932
2000, Arizona,5130632
2000, Arkansas,2673400
2000, California,33871648
2000, Colorado,4301261
2000, Connecticut,3405565
2000, Delaware,783600
2000, District of Columbia,572059
2000, Florida,15982378
2000, Georgia,8186453
2000, Hawaii,1211537
2000, Idaho,1293953
2000, Illinois,12419293
2000, Indiana,6080485
2000, Iowa,2926324
2000, Kansas,2688418
2000, Kentucky,4041769
2000, Louisiana,4468976
2000, Maine,1274923
2000, Maryland,5296486
2000, Massachusetts,6349097
2000, Michigan,9938444
2000, Minnesota,4919479
2000, Mississippi,2844658
2000, Missouri,5595211
2000, Montana,902195
2000, Nebraska,1711263
2000, Nevada,1998257
2000, New Hampshire,1235786
2000, New Jersey,8414350
2000, New Mexico,1819046
2000, New York,18976457
2000, North Carolina,8049313
2000, North Dakota,642200
2000, Ohio,11353140
2000, Oklahoma,3450654
2000, Oregon,3421399
2000, Pennsylvania,12281054
2000, Rhode Island,1048319
2000, South Carolina,4012012
2000, South Dakota,754844
2000, Tennessee,5689283
2000, Texas,20851820
2000, Utah,2233169
2000, Vermont,608827
2000, Virginia,7078515
2000, Washington,5894121
2000, West Virginia,1808344
2000, Wisconsin,5363675
2000, Wyoming,493782
2010, Alabama,4779736
2010, Alaska,710231
2010, Arizona,6392017
2010, Arkansas,2915918
2010, California,37253956
2010, Colorado,5029196
2010, Connecticut,3574097
2010, Delaware,897934
2010, District of Columbia,601723
2010, Florida,18801310
2010, Georgia,9687653
2010, Hawaii,1360301
2010, Idaho,1567582
2010, Illinois,12830632
2010, Indiana,6483802
2010, Iowa,3046355
2010, Kansas,2853118
2010, Kentucky,4339367
2010, Louisiana,4533372
2010, Maine,1328361
2010, Maryland,5773552
2010, Massachusetts,6547629
2010, Michigan,9883640
2010, Minnesota,5303925
2010, Mississippi,2967297
2010, Missouri,5988927
2010, Montana,989415
2010, Nebraska,1826341
2010, Nevada,2700551
2010, New Hampshire,1316470
2010, New Jersey,8791894
2010, New Mexico,2059179
2010, New York,19378102
2010, North Carolina,9535483
2010, North Dakota,672591
2010, Ohio,11536504
2010, Oklahoma,3751351
2010, Oregon,3831074
2010, Pennsylvania,12702379
2010, Rhode Island,1052567
2010, South Carolina,4625364
2010, South Dakota,814180
2010, Tennessee,6346105
2010, Texas,25145561
2010, Utah,2763885
2010, Vermont,625741
2010, Virginia,8001024
2010, Washington,6724540
2010, West Virginia,1852994
2010, Wisconsin,5686986
2010, Wyoming,563626
