State,1/1/1900,1/1/1901,1/1/1902,1/1/1903,1/1/1904,1/1/1905,1/1/1906,1/1/1907,1/1/1908,1/1/1909,1/1/1910,1/1/1911,1/1/1912,1/1/1913,1/1/1914,1/1/1915,1/1/1916,1/1/1917,1/1/1918,1/1/1919,1/1/1920,1/1/1921,1/1/1922,1/1/1923,1/1/1924,1/1/1925,1/1/1926,1/1/1927,1/1/1928,1/1/1929,1/1/1930,1/1/1931,1/1/1932,1/1/1933,1/1/1934,1/1/1935,1/1/1936,1/1/1937,1/1/1938,1/1/1939,1/1/1940,1/1/1941,1/1/1942,1/1/1943,1/1/1944,1/1/1945,1/1/1946,1/1/1947,1/1/1948,1/1/1949,1/1/1950,1/1/1951,1/1/1952,1/1/1953,1/1/1954,1/1/1955,1/1/1956,1/1/1957,1/1/1958,1/1/1959,1/1/1960,1/1/1961,1/1/1962,1/1/1963,1/1/1964,1/1/1965,1/1/1966,1/1/1967,1/1/1968,1/1/1969,1/1/1970,1/1/1971,1/1/1972,1/1/1973,1/1/1974,1/1/1975,1/1/1976,1/1/1977,1/1/1978,1/1/1979,1/1/1980,1/1/1981,1/1/1982,1/1/1983,1/1/1984,1/1/1985,1/1/1986,1/1/1987,1/1/1988,1/1/1989,1/1/1990,1/1/1991,1/1/1992,1/1/1993,1/1/1994,1/1/1995,1/1/1996,1/1/1997,1/1/1998,1/1/1999,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020
Alabama,1830,1907,1935,1957,1978,2012,2045,2058,2070,2108,2150,2185,2217,2279,2336,2345,2359,2361,2343,2337,2359,2402,2434,2464,2501,2534,2567,2609,2640,2644,2647,2649,2653,2661,2685,2719,2743,2762,2787,2814,2845,2902,2941,2902,2802,2775,2911,2942,2969,3000,3058,3059,3068,3053,3014,3050,3071,3109,3163,3204,3274,3316,3323,3358,3395,3443,3464,3458,3446,3440,3444.354,3497.076,3539.4,3579.78,3626.499,3678.814,3735.139,3780.403,3831.836,3866.248,3900.368,3918.531,3925.266,3934.102,3951.82,3972.523,3991.569,4015.264,4023.844,4030.222,4048.508,4091.025,4139.269,4193.114,4232.965,4262.731,4290.403,4320.281,4351.037,4369.862,4452.173,4467.634,4480.089,4503.491,4530.729,4569.805,4628.981,4672.84,4718.206,4757.938,4785.514,4799.642,4816.632,4831.586,4843.737,4854.803,4866.824,4877.989,4891.628,4907.965,4921.532
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,158,189,205,215,222,224,231,224,224,229,238,246,256,263,271,271,278,285,296,302.583,315.51,324.464,330.543,341.063,376.17,400.969,403.436,404.766,402.753,405.315,418.491,449.606,488.417,513.702,532.495,544.268,539.309,541.983,547.159,553.12,569.273,587.073,596.993,600.624,601.345,604.918,608.846,615.205,619.5,627.963,633.714,642.337,648.414,659.286,666.946,675.302,680.3,687.455,698.895,713.982,722.349,730.81,737.626,737.075,738.43,742.575,740.983,736.624,733.603,731.158
Arizona,124,131,138,144,151,158,167,176,186,196,206,212,217,236,253,263,282,311,320,329,340,351,360,371,382,393,403,414,422,430,434,429,426,426,428,434,443,453,466,484,499,490,524,692,610,594,616,653,690,714,756,785,842,894,933,987,1053,1125,1193,1261,1321,1407,1471,1521,1556,1584,1614,1646,1682,1737,1775.399,1895.814,2008.291,2124.438,2223.196,2284.847,2346.157,2425.197,2515.316,2635.571,2737.774,2810.107,2889.861,2968.925,3067.135,3183.538,3308.262,3437.103,3535.183,3622.185,3679.056,3762.394,3867.333,3993.39,4147.561,4306.908,4432.308,4552.207,4667.277,4778.332,5160.586,5273.477,5396.255,5510.364,5652.404,5839.077,6029.141,6167.681,6280.362,6343.154,6407.342,6473.416,6556.344,6634.69,6732.873,6832.81,6944.767,7048.088,7164.228,7291.843,7421.401
Arkansas,1314,1341,1360,1384,1419,1447,1465,1484,1513,1545,1583,1610,1636,1664,1688,1702,1719,1737,1749,1742,1756,1769,1772,1784,1800,1812,1826,1840,1847,1852,1859,1848,1836,1854,1878,1890,1892,1903,1928,1948,1955,1969,1977,1843,1768,1762,1797,1836,1825,1844,1908,1901,1838,1780,1734,1725,1704,1733,1726,1756,1789,1806,1853,1875,1897,1894,1899,1901,1902,1913,1923.322,1972.312,2018.638,2059.256,2101.403,2159.526,2170.161,2209.01,2243.127,2271.333,2288.738,2293.201,2294.257,2305.761,2319.768,2327.046,2331.984,2342.355,2342.656,2346.358,2354.343,2370.666,2394.098,2423.743,2450.605,2480.121,2504.858,2524.007,2538.202,2551.373,2678.588,2691.571,2705.927,2724.816,2749.686,2781.097,2821.761,2848.65,2874.554,2896.843,2921.998,2941.038,2952.876,2960.459,2968.759,2979.732,2991.815,3003.855,3012.161,3020.985,3030.522
California,1490,1550,1623,1702,1792,1893,1976,2054,2161,2282,2406,2534,2668,2811,2934,3008,3071,3171,3262,3339,3554,3795,3991,4270,4541,4730,4929,5147,5344,5531,5711,5824,5894,5963,6060,6175,6341,6528,6656,6785,6950,7237,7735,8506,8945,9344,9559,9832,10064,10337,10677,11134,11635,12251,12746,13133,13713,14264,14880,15467,15870,16497,17072,17668,18151,18585,18858,19176,19394,19711,19971.069,20345.939,20585.469,20868.728,21173.865,21537.849,21935.909,22352.396,22835.958,23256.88,23800.8,24285.933,24820.009,25360.026,25844.393,26441.109,27102.237,27777.158,28464.249,29218.164,29950.111,30414.114,30875.92,31147.208,31317.179,31493.525,31780.829,32217.708,32682.794,33145.121,33987.977,34479.458,34871.843,35253.159,35574.576,35827.943,36021.202,36250.311,36604.337,36961.229,37319.55,37636.311,37944.551,38253.768,38586.706,38904.296,39149.186,39337.785,39437.463,39437.61,39368.078
Colorado,543,581,621,652,659,680,707,733,757,775,804,821,832,835,846,868,892,910,906,938,937,961,965,984,1014,1019,1016,1028,1014,1008,1040,1056,1066,1071,1075,1078,1090,1104,1112,1120,1130,1124,1113,1153,1137,1116,1203,1237,1263,1295,1325,1326,1365,1431,1493,1546,1625,1664,1667,1710,1769,1844,1899,1936,1970,1985,2007,2053,2120,2166,2209.596,2303.524,2404.619,2495.868,2541.406,2586.192,2632.306,2696.14,2766.748,2849.234,2908.803,2977.898,3061.564,3133.63,3169.992,3208.723,3237.45,3260.48,3262.281,3275.818,3303.862,3367.567,3459.995,3560.884,3653.91,3738.061,3812.716,3891.293,3968.967,4056.133,4326.921,4425.687,4490.406,4528.732,4575.013,4631.888,4720.423,4803.868,4889.73,4972.195,5047.539,5121.9,5193.66,5270.774,5352.637,5454.328,5543.844,5617.421,5697.155,5758.486,5807.719
Connecticut,910,931,952,972,987,1010,1033,1057,1077,1097,1122,1149,1176,1208,1233,1258,1294,1327,1329,1359,1391,1415,1431,1455,1481,1506,1531,1557,1577,1594,1613,1628,1637,1642,1650,1666,1672,1678,1684,1696,1708,1746,1792,1792,1778,1769,1906,1967,2014,2032,2016,2028,2081,2168,2249,2300,2316,2359,2446,2523,2544,2586,2647,2727,2798,2857,2903,2935,2964,3000,3032.217,3060.938,3068.699,3067.814,3074.047,3082.5,3083.335,3085.722,3091.627,3095.917,3113.174,3128.836,3139.013,3162.354,3180.014,3201.131,3223.74,3247.291,3271.953,3283.403,3289.056,3288.64,3274.997,3272.325,3268.346,3265.293,3267.03,3268.514,3272.563,3282.031,3411.777,3432.835,3458.749,3484.336,3496.094,3506.956,3517.46,3527.27,3545.579,3561.807,3579.173,3588.632,3595.211,3595.792,3595.697,3588.561,3579.83,3575.324,3574.561,3566.022,3557.006
Delaware,185,187,188,190,192,194,196,197,199,201,203,207,209,213,216,217,219,222,220,221,219,216,214,215,219,222,225,229,233,236,239,242,245,248,250,252,253,254,257,263,269,275,279,282,285,286,299,305,312,316,321,331,341,351,368,389,408,426,433,441,449,461,469,483,497,507,516,525,534,540,548.104,564.708,572.913,577.759,581.418,586.589,590.166,591.829,594.776,594.984,594.919,595.975,599.148,605.458,611.565,618.28,627.559,636.947,647.622,658.273,669.063,680.495,690.158,699.475,708.416,718.265,727.09,735.024,744.066,753.538,786.373,795.699,806.169,818.003,830.803,845.15,859.268,871.749,883.874,891.73,899.647,907.59,915.518,924.062,933.131,942.065,949.989,957.942,966.985,976.668,986.809
District of Columbia,278,285,290,295,302,308,313,317,321,327,334,344,340,358,368,361,360,385,418,445,440,446,450,453,456,461,469,476,479,483,488,504,513,529,568,608,629,616,638,658,690,764,851,900,881,876,899,888,840,807,806,808,805,810,791,785,759,763,757,761,765,778,788,798,798,797,791,791,778,762,756.668,749.781,742.241,731.488,717.947,706.871,692.295,677.228,665.052,650.016,638.284,636.893,634.174,632.433,633.382,634.549,638.269,636.93,630.432,624.168,603.814,593.239,584.183,576.358,564.982,551.273,538.273,528.752,521.426,519,572.046,574.504,573.158,568.502,567.754,567.136,570.681,574.404,580.236,592.228,605.282,620.29,635.737,651.559,663.603,677.014,687.576,697.079,704.147,708.253,712.816
Florida,530,544,565,587,599,615,628,645,684,724,756,773,801,828,871,922,924,895,865,898,962,997,1044,1097,1160,1264,1368,1418,1433,1445,1471,1493,1521,1552,1585,1613,1651,1709,1771,1836,1915,2017,2151,2451,2420,2465,2440,2528,2578,2668,2810,2980,3157,3310,3505,3747,4047,4372,4630,4808,5004,5243,5458,5628,5781,5954,6104,6242,6433,6641,6791.418,7158.304,7511.463,7913.696,8298.762,8518.422,8667.379,8856.183,9102.032,9426.159,9839.835,10192.774,10471.407,10749.851,11039.925,11351.118,11667.505,11997.283,12306.395,12637.715,13018.365,13289.497,13504.775,13713.593,13961.798,14185.403,14426.911,14683.35,14908.23,15111.244,16047.515,16356.966,16689.37,17004.085,17415.318,17842.038,18166.99,18367.842,18527.305,18652.644,18846.143,19055.607,19302.016,19551.678,19853.88,20219.111,20627.237,20977.089,21254.926,21492.056,21733.312
